Municipality,Type,Year,Variable,Value,Unit
Bled,Tourist,2023,Overnights,1082546,nights
Bohinj,Tourist,2023,Overnights,823190,nights
Bovec,Tourist,2023,Overnights,557872,nights
Celje,Capital,2023,Overnights,58789,nights
Koper,Capital,2023,Overnights,360128,nights
Kranj,Capital,2023,Overnights,120143,nights
Kranjska Gora,Tourist,2023,Overnights,961144,nights
Ljubljana,Capital,2023,Overnights,2299336,nights
Maribor,Capital,2023,Overnights,531614,nights
Murska Sobota,Capital,2023,Overnights,31938,nights
Nova Gorica,Capital,2023,Overnights,178236,nights
Novo mesto,Capital,2023,Overnights,57310,nights
Piran,Tourist,2023,Overnights,1818936,nights
Bled,Tourist,2008,Migration,2.8,per 1000 residents
Slovenija,Country,2008,Migration,9.2,per 1000 residents
Bohinj,Tourist,2008,Migration,7.7,per 1000 residents
Bovec,Tourist,2008,Migration,-1.9,per 1000 residents
Celje,Capital,2008,Migration,4.5,per 1000 residents
Koper,Capital,2008,Migration,24.7,per 1000 residents
Kranj,Capital,2008,Migration,8.2,per 1000 residents
Kranjska Gora,Tourist,2008,Migration,-10.9,per 1000 residents
Ljubljana,Capital,2008,Migration,26.4,per 1000 residents
Maribor,Capital,2008,Migration,6.1,per 1000 residents
Murska Sobota,Capital,2008,Migration,-5.2,per 1000 residents
Nova Gorica,Capital,2008,Migration,7.7,per 1000 residents
Novo mesto,Capital,2008,Migration,8.4,per 1000 residents
Piran,Tourist,2008,Migration,-1.7,per 1000 residents
Bled,Tourist,2009,Migration,1.1,per 1000 residents
Slovenija,Country,2009,Migration,5.6,per 1000 residents
Bohinj,Tourist,2009,Migration,8.7,per 1000 residents
Bovec,Tourist,2009,Migration,2.8,per 1000 residents
Celje,Capital,2009,Migration,-5.0,per 1000 residents
Koper,Capital,2009,Migration,19.9,per 1000 residents
Kranj,Capital,2009,Migration,6.6,per 1000 residents
Kranjska Gora,Tourist,2009,Migration,-11.1,per 1000 residents
Ljubljana,Capital,2009,Migration,14.2,per 1000 residents
Maribor,Capital,2009,Migration,4.0,per 1000 residents
Murska Sobota,Capital,2009,Migration,-5.0,per 1000 residents
Nova Gorica,Capital,2009,Migration,3.5,per 1000 residents
Novo mesto,Capital,2009,Migration,9.0,per 1000 residents
Piran,Tourist,2009,Migration,29.2,per 1000 residents
Bled,Tourist,2010,Migration,-4.7,per 1000 residents
Slovenija,Country,2010,Migration,-0.3,per 1000 residents
Bohinj,Tourist,2010,Migration,-3.0,per 1000 residents
Bovec,Tourist,2010,Migration,16.3,per 1000 residents
Celje,Capital,2010,Migration,-6.4,per 1000 residents
Koper,Capital,2010,Migration,7.2,per 1000 residents
Kranj,Capital,2010,Migration,-0.3,per 1000 residents
Kranjska Gora,Tourist,2010,Migration,0.6,per 1000 residents
Ljubljana,Capital,2010,Migration,-1.4,per 1000 residents
Maribor,Capital,2010,Migration,-3.6,per 1000 residents
Murska Sobota,Capital,2010,Migration,-1.9,per 1000 residents
Nova Gorica,Capital,2010,Migration,-1.3,per 1000 residents
Novo mesto,Capital,2010,Migration,4.3,per 1000 residents
Piran,Tourist,2010,Migration,0.4,per 1000 residents
Bled,Tourist,2011,Migration,1.8,per 1000 residents
Slovenija,Country,2011,Migration,1.0,per 1000 residents
Bohinj,Tourist,2011,Migration,-10.3,per 1000 residents
Bovec,Tourist,2011,Migration,-19.0,per 1000 residents
Celje,Capital,2011,Migration,-1.4,per 1000 residents
Koper,Capital,2011,Migration,4.6,per 1000 residents
Kranj,Capital,2011,Migration,2.7,per 1000 residents
Kranjska Gora,Tourist,2011,Migration,7.0,per 1000 residents
Ljubljana,Capital,2011,Migration,-0.8,per 1000 residents
Maribor,Capital,2011,Migration,0.2,per 1000 residents
Murska Sobota,Capital,2011,Migration,1.0,per 1000 residents
Nova Gorica,Capital,2011,Migration,-5.1,per 1000 residents
Novo mesto,Capital,2011,Migration,-1.4,per 1000 residents
Piran,Tourist,2011,Migration,-4.8,per 1000 residents
Bled,Tourist,2012,Migration,-2.2,per 1000 residents
Slovenija,Country,2012,Migration,0.3,per 1000 residents
Bohinj,Tourist,2012,Migration,2.5,per 1000 residents
Bovec,Tourist,2012,Migration,4.1,per 1000 residents
Celje,Capital,2012,Migration,-1.2,per 1000 residents
Koper,Capital,2012,Migration,2.5,per 1000 residents
Kranj,Capital,2012,Migration,-2.4,per 1000 residents
Kranjska Gora,Tourist,2012,Migration,0.0,per 1000 residents
Ljubljana,Capital,2012,Migration,5.6,per 1000 residents
Maribor,Capital,2012,Migration,1.4,per 1000 residents
Murska Sobota,Capital,2012,Migration,-2.9,per 1000 residents
Nova Gorica,Capital,2012,Migration,-2.2,per 1000 residents
Novo mesto,Capital,2012,Migration,-6.0,per 1000 residents
Piran,Tourist,2012,Migration,13.7,per 1000 residents
Bled,Tourist,2013,Migration,-1.3,per 1000 residents
Slovenija,Country,2013,Migration,0.2,per 1000 residents
Bohinj,Tourist,2013,Migration,-1.9,per 1000 residents
Bovec,Tourist,2013,Migration,-14.5,per 1000 residents
Celje,Capital,2013,Migration,1.3,per 1000 residents
Koper,Capital,2013,Migration,19.4,per 1000 residents
Kranj,Capital,2013,Migration,-2.4,per 1000 residents
Kranjska Gora,Tourist,2013,Migration,11.9,per 1000 residents
Ljubljana,Capital,2013,Migration,7.5,per 1000 residents
Maribor,Capital,2013,Migration,8.8,per 1000 residents
Murska Sobota,Capital,2013,Migration,-5.4,per 1000 residents
Nova Gorica,Capital,2013,Migration,-4.1,per 1000 residents
Novo mesto,Capital,2013,Migration,-2.0,per 1000 residents
Piran,Tourist,2013,Migration,-4.4,per 1000 residents
Bled,Tourist,2014,Migration,-10.6,per 1000 residents
Slovenija,Country,2014,Migration,-0.2,per 1000 residents
Bohinj,Tourist,2014,Migration,-2.7,per 1000 residents
Bovec,Tourist,2014,Migration,-0.3,per 1000 residents
Celje,Capital,2014,Migration,-3.5,per 1000 residents
Koper,Capital,2014,Migration,-7.7,per 1000 residents
Kranj,Capital,2014,Migration,0.1,per 1000 residents
Kranjska Gora,Tourist,2014,Migration,-2.4,per 1000 residents
Ljubljana,Capital,2014,Migration,2.3,per 1000 residents
Maribor,Capital,2014,Migration,4.0,per 1000 residents
Murska Sobota,Capital,2014,Migration,1.4,per 1000 residents
Nova Gorica,Capital,2014,Migration,2.0,per 1000 residents
Novo mesto,Capital,2014,Migration,-2.5,per 1000 residents
Piran,Tourist,2014,Migration,6.2,per 1000 residents
Bled,Tourist,2015,Migration,-13.1,per 1000 residents
Slovenija,Country,2015,Migration,0.2,per 1000 residents
Bohinj,Tourist,2015,Migration,0.4,per 1000 residents
Bovec,Tourist,2015,Migration,-1.0,per 1000 residents
Celje,Capital,2015,Migration,4.6,per 1000 residents
Koper,Capital,2015,Migration,1.7,per 1000 residents
Kranj,Capital,2015,Migration,-0.2,per 1000 residents
Kranjska Gora,Tourist,2015,Migration,3.4,per 1000 residents
Ljubljana,Capital,2015,Migration,1.5,per 1000 residents
Maribor,Capital,2015,Migration,-1.0,per 1000 residents
Murska Sobota,Capital,2015,Migration,1.1,per 1000 residents
Nova Gorica,Capital,2015,Migration,2.4,per 1000 residents
Novo mesto,Capital,2015,Migration,1.4,per 1000 residents
Piran,Tourist,2015,Migration,2.1,per 1000 residents
Bled,Tourist,2016,Migration,-6.6,per 1000 residents
Slovenija,Country,2016,Migration,0.5,per 1000 residents
Bohinj,Tourist,2016,Migration,6.2,per 1000 residents
Bovec,Tourist,2016,Migration,-9.0,per 1000 residents
Celje,Capital,2016,Migration,5.1,per 1000 residents
Koper,Capital,2016,Migration,5.2,per 1000 residents
Kranj,Capital,2016,Migration,-3.8,per 1000 residents
Kranjska Gora,Tourist,2016,Migration,3.0,per 1000 residents
Ljubljana,Capital,2016,Migration,-0.1,per 1000 residents
Maribor,Capital,2016,Migration,-4.4,per 1000 residents
Murska Sobota,Capital,2016,Migration,-0.3,per 1000 residents
Nova Gorica,Capital,2016,Migration,1.7,per 1000 residents
Novo mesto,Capital,2016,Migration,-4.7,per 1000 residents
Piran,Tourist,2016,Migration,-0.4,per 1000 residents
Bled,Tourist,2017,Migration,-10.0,per 1000 residents
Slovenija,Country,2017,Migration,0.6,per 1000 residents
Bohinj,Tourist,2017,Migration,-3.1,per 1000 residents
Bovec,Tourist,2017,Migration,-1.6,per 1000 residents
Celje,Capital,2017,Migration,1.0,per 1000 residents
Koper,Capital,2017,Migration,8.1,per 1000 residents
Kranj,Capital,2017,Migration,-5.4,per 1000 residents
Kranjska Gora,Tourist,2017,Migration,-4.6,per 1000 residents
Ljubljana,Capital,2017,Migration,0.6,per 1000 residents
Maribor,Capital,2017,Migration,2.1,per 1000 residents
Murska Sobota,Capital,2017,Migration,-3.5,per 1000 residents
Nova Gorica,Capital,2017,Migration,-3.7,per 1000 residents
Novo mesto,Capital,2017,Migration,1.1,per 1000 residents
Piran,Tourist,2017,Migration,-6.5,per 1000 residents
Bled,Tourist,2018,Migration,-4.5,per 1000 residents
Slovenija,Country,2018,Migration,7.2,per 1000 residents
Bohinj,Tourist,2018,Migration,1.0,per 1000 residents
Bovec,Tourist,2018,Migration,4.3,per 1000 residents
Celje,Capital,2018,Migration,2.5,per 1000 residents
Koper,Capital,2018,Migration,9.6,per 1000 residents
Kranj,Capital,2018,Migration,3.8,per 1000 residents
Kranjska Gora,Tourist,2018,Migration,4.0,per 1000 residents
Ljubljana,Capital,2018,Migration,10.9,per 1000 residents
Maribor,Capital,2018,Migration,14.6,per 1000 residents
Murska Sobota,Capital,2018,Migration,3.1,per 1000 residents
Nova Gorica,Capital,2018,Migration,6.6,per 1000 residents
Novo mesto,Capital,2018,Migration,12.6,per 1000 residents
Piran,Tourist,2018,Migration,4.5,per 1000 residents
Bled,Tourist,2019,Migration,4.8,per 1000 residents
Slovenija,Country,2019,Migration,7.8,per 1000 residents
Bohinj,Tourist,2019,Migration,14.1,per 1000 residents
Bovec,Tourist,2019,Migration,12.0,per 1000 residents
Celje,Capital,2019,Migration,3.3,per 1000 residents
Koper,Capital,2019,Migration,8.6,per 1000 residents
Kranj,Capital,2019,Migration,11.6,per 1000 residents
Kranjska Gora,Tourist,2019,Migration,13.8,per 1000 residents
Ljubljana,Capital,2019,Migration,7.6,per 1000 residents
Maribor,Capital,2019,Migration,8.6,per 1000 residents
Murska Sobota,Capital,2019,Migration,6.2,per 1000 residents
Nova Gorica,Capital,2019,Migration,5.7,per 1000 residents
Novo mesto,Capital,2019,Migration,13.0,per 1000 residents
Piran,Tourist,2019,Migration,1.9,per 1000 residents
Bled,Tourist,2020,Migration,44.6,per 1000 residents
Slovenija,Country,2020,Migration,8.7,per 1000 residents
Bohinj,Tourist,2020,Migration,85.4,per 1000 residents
Bovec,Tourist,2020,Migration,56.4,per 1000 residents
Celje,Capital,2020,Migration,-6.8,per 1000 residents
Koper,Capital,2020,Migration,13.8,per 1000 residents
Kranj,Capital,2020,Migration,1.6,per 1000 residents
Kranjska Gora,Tourist,2020,Migration,402.3,per 1000 residents
Ljubljana,Capital,2020,Migration,-1.9,per 1000 residents
Maribor,Capital,2020,Migration,15.9,per 1000 residents
Murska Sobota,Capital,2020,Migration,2.3,per 1000 residents
Nova Gorica,Capital,2020,Migration,3.1,per 1000 residents
Novo mesto,Capital,2020,Migration,-4.8,per 1000 residents
Piran,Tourist,2020,Migration,44.6,per 1000 residents
Bled,Tourist,2021,Migration,8.9,per 1000 residents
Slovenija,Country,2021,Migration,1.2,per 1000 residents
Bohinj,Tourist,2021,Migration,20.4,per 1000 residents
Bovec,Tourist,2021,Migration,-15.9,per 1000 residents
Celje,Capital,2021,Migration,-4.3,per 1000 residents
Koper,Capital,2021,Migration,5.4,per 1000 residents
Kranj,Capital,2021,Migration,-8.3,per 1000 residents
Kranjska Gora,Tourist,2021,Migration,40.3,per 1000 residents
Ljubljana,Capital,2021,Migration,-4.9,per 1000 residents
Maribor,Capital,2021,Migration,-1.0,per 1000 residents
Murska Sobota,Capital,2021,Migration,2.8,per 1000 residents
Nova Gorica,Capital,2021,Migration,2.0,per 1000 residents
Novo mesto,Capital,2021,Migration,3.5,per 1000 residents
Piran,Tourist,2021,Migration,3.5,per 1000 residents
Bled,Tourist,2022,Migration,-6.1,per 1000 residents
Slovenija,Country,2022,Migration,7.0,per 1000 residents
Bohinj,Tourist,2022,Migration,-41.7,per 1000 residents
Bovec,Tourist,2022,Migration,-38.0,per 1000 residents
Celje,Capital,2022,Migration,5.1,per 1000 residents
Koper,Capital,2022,Migration,10.0,per 1000 residents
Kranj,Capital,2022,Migration,9.6,per 1000 residents
Kranjska Gora,Tourist,2022,Migration,-252.3,per 1000 residents
Ljubljana,Capital,2022,Migration,11.0,per 1000 residents
Maribor,Capital,2022,Migration,4.7,per 1000 residents
Murska Sobota,Capital,2022,Migration,12.1,per 1000 residents
Nova Gorica,Capital,2022,Migration,11.1,per 1000 residents
Novo mesto,Capital,2022,Migration,10.9,per 1000 residents
Piran,Tourist,2022,Migration,-4.4,per 1000 residents
Bled,Tourist,2023,Migration,-1.8,per 1000 residents
Slovenija,Country,2023,Migration,5.4,per 1000 residents
Bohinj,Tourist,2023,Migration,-30.8,per 1000 residents
Bovec,Tourist,2023,Migration,4.9,per 1000 residents
Celje,Capital,2023,Migration,12.1,per 1000 residents
Koper,Capital,2023,Migration,9.7,per 1000 residents
Kranj,Capital,2023,Migration,-0.5,per 1000 residents
Kranjska Gora,Tourist,2023,Migration,-111.3,per 1000 residents
Ljubljana,Capital,2023,Migration,5.5,per 1000 residents
Maribor,Capital,2023,Migration,11.5,per 1000 residents
Murska Sobota,Capital,2023,Migration,2.8,per 1000 residents
Nova Gorica,Capital,2023,Migration,1.1,per 1000 residents
Novo mesto,Capital,2023,Migration,7.3,per 1000 residents
Piran,Tourist,2023,Migration,-2.7,per 1000 residents
Bled,Tourist,2008,Average Age,42.7,years
Slovenija,Country,2008,Average Age,41.1,years
Bohinj,Tourist,2008,Average Age,42.4,years
Bovec,Tourist,2008,Average Age,44.2,years
Celje,Capital,2008,Average Age,42.0,years
Koper,Capital,2008,Average Age,42.3,years
Kranj,Capital,2008,Average Age,40.7,years
Kranjska Gora,Tourist,2008,Average Age,43.6,years
Ljubljana,Capital,2008,Average Age,42.4,years
Maribor,Capital,2008,Average Age,43.8,years
Murska Sobota,Capital,2008,Average Age,41.9,years
Nova Gorica,Capital,2008,Average Age,42.5,years
Novo mesto,Capital,2008,Average Age,39.4,years
Piran,Tourist,2008,Average Age,43.3,years
Bled,Tourist,2009,Average Age,42.9,years
Slovenija,Country,2009,Average Age,41.3,years
Bohinj,Tourist,2009,Average Age,42.6,years
Bovec,Tourist,2009,Average Age,44.7,years
Celje,Capital,2009,Average Age,42.0,years
Koper,Capital,2009,Average Age,42.3,years
Kranj,Capital,2009,Average Age,40.8,years
Kranjska Gora,Tourist,2009,Average Age,43.7,years
Ljubljana,Capital,2009,Average Age,41.8,years
Maribor,Capital,2009,Average Age,43.4,years
Murska Sobota,Capital,2009,Average Age,42.9,years
Nova Gorica,Capital,2009,Average Age,43.1,years
Novo mesto,Capital,2009,Average Age,39.9,years
Piran,Tourist,2009,Average Age,43.3,years
Bled,Tourist,2010,Average Age,43.0,years
Slovenija,Country,2010,Average Age,41.4,years
Bohinj,Tourist,2010,Average Age,43.1,years
Bovec,Tourist,2010,Average Age,44.9,years
Celje,Capital,2010,Average Age,42.4,years
Koper,Capital,2010,Average Age,42.3,years
Kranj,Capital,2010,Average Age,40.9,years
Kranjska Gora,Tourist,2010,Average Age,44.2,years
Ljubljana,Capital,2010,Average Age,41.8,years
Maribor,Capital,2010,Average Age,43.7,years
Murska Sobota,Capital,2010,Average Age,43.2,years
Nova Gorica,Capital,2010,Average Age,43.1,years
Novo mesto,Capital,2010,Average Age,40.1,years
Piran,Tourist,2010,Average Age,43.4,years
Bled,Tourist,2011,Average Age,43.4,years
Slovenija,Country,2011,Average Age,41.7,years
Bohinj,Tourist,2011,Average Age,43.3,years
Bovec,Tourist,2011,Average Age,44.9,years
Celje,Capital,2011,Average Age,42.6,years
Koper,Capital,2011,Average Age,42.5,years
Kranj,Capital,2011,Average Age,41.0,years
Kranjska Gora,Tourist,2011,Average Age,44.5,years
Ljubljana,Capital,2011,Average Age,41.9,years
Maribor,Capital,2011,Average Age,43.9,years
Murska Sobota,Capital,2011,Average Age,43.5,years
Nova Gorica,Capital,2011,Average Age,43.4,years
Novo mesto,Capital,2011,Average Age,40.2,years
Piran,Tourist,2011,Average Age,43.7,years
Bled,Tourist,2012,Average Age,43.5,years
Slovenija,Country,2012,Average Age,41.9,years
Bohinj,Tourist,2012,Average Age,43.9,years
Bovec,Tourist,2012,Average Age,45.3,years
Celje,Capital,2012,Average Age,42.8,years
Koper,Capital,2012,Average Age,42.6,years
Kranj,Capital,2012,Average Age,41.2,years
Kranjska Gora,Tourist,2012,Average Age,44.9,years
Ljubljana,Capital,2012,Average Age,42.0,years
Maribor,Capital,2012,Average Age,44.2,years
Murska Sobota,Capital,2012,Average Age,43.9,years
Nova Gorica,Capital,2012,Average Age,43.6,years
Novo mesto,Capital,2012,Average Age,40.4,years
Piran,Tourist,2012,Average Age,44.0,years
Bled,Tourist,2013,Average Age,43.8,years
Slovenija,Country,2013,Average Age,42.1,years
Bohinj,Tourist,2013,Average Age,44.1,years
Bovec,Tourist,2013,Average Age,45.5,years
Celje,Capital,2013,Average Age,42.9,years
Koper,Capital,2013,Average Age,42.8,years
Kranj,Capital,2013,Average Age,41.4,years
Kranjska Gora,Tourist,2013,Average Age,46.0,years
Ljubljana,Capital,2013,Average Age,41.9,years
Maribor,Capital,2013,Average Age,44.3,years
Murska Sobota,Capital,2013,Average Age,44.2,years
Nova Gorica,Capital,2013,Average Age,43.8,years
Novo mesto,Capital,2013,Average Age,40.7,years
Piran,Tourist,2013,Average Age,44.1,years
Bled,Tourist,2014,Average Age,44.1,years
Slovenija,Country,2014,Average Age,42.3,years
Bohinj,Tourist,2014,Average Age,44.3,years
Bovec,Tourist,2014,Average Age,46.4,years
Celje,Capital,2014,Average Age,43.1,years
Koper,Capital,2014,Average Age,42.8,years
Kranj,Capital,2014,Average Age,41.5,years
Kranjska Gora,Tourist,2014,Average Age,46.6,years
Ljubljana,Capital,2014,Average Age,41.9,years
Maribor,Capital,2014,Average Age,44.3,years
Murska Sobota,Capital,2014,Average Age,44.7,years
Nova Gorica,Capital,2014,Average Age,44.0,years
Novo mesto,Capital,2014,Average Age,41.0,years
Piran,Tourist,2014,Average Age,44.4,years
Bled,Tourist,2015,Average Age,44.3,years
Slovenija,Country,2015,Average Age,42.5,years
Bohinj,Tourist,2015,Average Age,44.5,years
Bovec,Tourist,2015,Average Age,46.6,years
Celje,Capital,2015,Average Age,43.3,years
Koper,Capital,2015,Average Age,43.1,years
Kranj,Capital,2015,Average Age,41.7,years
Kranjska Gora,Tourist,2015,Average Age,47.1,years
Ljubljana,Capital,2015,Average Age,42.0,years
Maribor,Capital,2015,Average Age,44.5,years
